,movieId,title,genres_x,user_count,rating_avg,imdbId,tconst,isAdult,startYear,runtimeMinutes,genres_y,directors,writers,actors
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,57309,3.893707794587238,114709,tt0114709,0,1995,81,"Adventure,Animation,Comedy",nm0005124,"nm0005124,nm0230032,nm0004056,nm0710020,nm0923736,nm0169505,nm0812513","['nm0000158', 'nm0000741', 'nm0725543', 'nm0001815']"
1,2,Jumanji (1995),Adventure|Children|Fantasy,24228,3.2515271586594023,113497,tt0113497,0,1995,104,"Adventure,Comedy,Family",nm0002653,"nm0378144,nm0852430,nm0833164,nm0885575","['nm0000245', 'nm0000379', 'nm0001372', 'nm0404993']"
2,3,Grumpier Old Men (1995),Comedy|Romance,11804,3.142028126058963,113228,tt0113228,0,1995,101,"Comedy,Romance",nm0222043,nm0425756,"['nm0000527', 'nm0000493', 'nm0000268', 'nm0000047']"
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2523,2.85354736424891,114885,tt0114885,0,1995,124,"Comedy,Drama,Romance",nm0001845,"nm0573334,nm0060103","['nm0001365', 'nm0000291', 'nm0222643', 'nm0005375']"
4,5,Father of the Bride Part II (1995),Comedy,11714,3.058434352057368,113041,tt0113041,0,1995,106,"Comedy,Family,Romance",nm0796124,"nm0352443,nm0329304,nm0583600,nm0796124","['nm0000188', 'nm0000473', 'nm0001737', 'nm0931090']"
5,6,Heat (1995),Action|Crime|Thriller,24588,3.854908898649748,113277,tt0113277,0,1995,170,"Action,Crime,Drama",nm0000520,nm0000520,"['nm0000199', 'nm0000134', 'nm0000174', 'nm0000685']"
6,7,Sabrina (1995),Comedy|Romance,12132,3.3636663369601054,114319,tt0114319,0,1995,127,"Comedy,Drama,Romance",nm0001628,"nm0853138,nm0000697,nm0499626,nm0070660,nm0713128","['nm0000148', 'nm0000566', 'nm0001427', 'nm0545408']"
7,8,Tom and Huck (1995),Adventure|Children,1344,3.114583333333333,112302,tt0112302,0,1995,97,"Adventure,Comedy,Drama",nm0382072,"nm0878494,nm0814085,nm0521739","['nm0001795', 'nm0000605', 'nm0734236', 'nm0777760']"
8,9,Sudden Death (1995),Action,3711,2.992050660199407,114576,tt0114576,0,1995,111,"Action,Crime,Thriller",nm0001382,"nm0049945,nm0704164","['nm0000241', 'nm0000959', 'nm0000855', 'nm0942925']"
9,10,GoldenEye (1995),Action|Adventure|Thriller,28265,3.42145763311516,113189,tt0113189,0,1995,130,"Action,Adventure,Thriller",nm0132709,"nm0001220,nm0289833,nm0128997,nm0270761","['nm0000112', 'nm0000293', 'nm0001713', 'nm0000463']"
10,11,"American President, The (1995)",Comedy|Drama|Romance,17042,3.657170519892032,112346,tt0112346,0,1995,114,"Comedy,Drama,Romance",nm0001661,nm0815070,"['nm0000140', 'nm0000906', 'nm0000640', 'nm0000150']"
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,3741,2.6245656241646618,112896,tt0112896,0,1995,88,"Comedy,Fantasy,Horror",nm0000316,"nm0000316,nm0209918,nm0352229,nm0831290","['nm0000558', 'nm0000316', 'nm0001493', 'nm0001836']"
12,13,Balto (1995),Adventure|Animation|Children,1715,3.333527696793003,112453,tt0112453,0,1995,78,"Adventure,Animation,Drama",nm0920425,"nm0748429,nm0504327,nm0169325,nm0776107","['nm0000102', 'nm0001364', 'nm0000403', 'nm0191906']"
13,14,Nixon (1995),Drama,5509,3.4234888364494465,113987,tt0113987,0,1995,192,"Biography,Drama,History",nm0000231,"nm0729151,nm0929349,nm0000231","['nm0000164', 'nm0000260', 'nm0000959', 'nm0000438']"
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2760,2.7190217391304348,112760,tt0112760,0,1995,124,"Action,Adventure,Comedy",nm0001317,"nm0065847,nm0331079,nm0262595,nm0317279,nm0455207,nm0635565","['nm0000133', 'nm0000546', 'nm0001449', 'nm0001999']"
15,16,Casino (1995),Crime|Drama,18404,3.8237068028689416,112641,tt0112641,0,1995,178,"Crime,Drama",nm0000217,"nm0683380,nm0000217","['nm0000134', 'nm0000232', 'nm0000582', 'nm0000249']"
16,17,Sense and Sensibility (1995),Drama|Romance,19729,3.948806325713417,114388,tt0114388,0,1995,136,"Drama,Romance",nm0000487,"nm0000807,nm0000668","['nm0000668', 'nm0000701', 'nm0281424', 'nm0929489']"
17,18,Four Rooms (1995),Comedy,5374,3.3843505768515074,113101,tt0113101,0,1995,98,Comedy,"nm0001675,nm0005062,nm0734319,nm0000233,nm0025978","nm0025978,nm0734319,nm0001675,nm0000233","['nm0000619', 'nm0000104', 'nm0205423', 'nm0004866']"
18,19,Ace Ventura: When Nature Calls (1995),Comedy,21552,2.6421677802524126,112281,tt0112281,0,1995,90,"Adventure,Comedy,Crime",nm0644203,"nm0077062,nm0644203","['nm0000120', 'nm0573862', 'nm0001003', 'nm0264330']"
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,3840,2.869921875,113845,tt0113845,0,1995,110,"Action,Comedy,Crime",nm0747849,"nm0724514,nm0521739","['nm0000648', 'nm0000437', 'nm0000182', 'nm0086706']"
20,21,Get Shorty (1995),Comedy|Crime|Thriller,22277,3.570162050545405,113161,tt0113161,0,1995,105,"Comedy,Crime,Thriller",nm0001756,"nm0001465,nm0291082","['nm0000432', 'nm0000623', 'nm0000362', 'nm0000237']"
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,9237,3.3200173216412256,112722,tt0112722,0,1995,123,"Drama,Mystery,Thriller",nm0000750,"nm0081189,nm0535189","['nm0000244', 'nm0000456', 'nm0000551', 'nm0001530']"
22,23,Assassins (1995),Action|Crime|Thriller,4108,3.145691333982473,112401,tt0112401,0,1995,133,"Action,Crime,Thriller",nm0001149,"nm0905152,nm0905154,nm0001338","['nm0000230', 'nm0000104', 'nm0000194', 'nm0205863']"
23,24,Powder (1995),Drama|Sci-Fi,7450,3.18758389261745,114168,tt0114168,0,1995,111,"Drama,Fantasy,Mystery",nm0759207,nm0759207,"['nm0005460', 'nm0001218', 'nm0000448', 'nm0000156']"
24,25,Leaving Las Vegas (1995),Drama|Romance,20070,3.677304434479322,113627,tt0113627,0,1995,111,"Drama,Romance",nm0001214,"nm3840714,nm0001214","['nm0000115', 'nm0000223', 'nm0001696', 'nm0507659']"
25,26,Othello (1995),Drama,2549,3.606708513142409,114057,tt0114057,0,1995,123,"Drama,Romance",nm0662529,"nm0662529,nm0000636","['nm0000401', 'nm0000110', 'nm0001393', 'nm0662511']"
26,27,Now and Then (1995),Children|Drama,1577,3.4039315155358274,114011,tt0114011,0,1995,100,"Comedy,Drama,Romance",nm0322128,nm0454783,"['nm0000207', 'nm0000193', 'nm0005280', 'nm0000301']"
27,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,8305,3.936724864539434,112682,tt0112682,0,1995,112,"Drama,Fantasy,Sci-Fi","nm0001988,nm0000466","nm0012496,nm0000466,nm0001988,nm0491011","['nm0000579', 'nm0256399', 'nm0900136', 'nm0684500']"
28,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1166,3.6367924528301887,115012,tt0115012,0,1995,108,"Crime,Drama,History",nm0955443,"nm0270819,nm0944481","['nm0000084', 'nm0508349', 'nm0944507', 'nm0508554']"
29,31,Dangerous Minds (1995),Drama,9106,3.244838567977158,112792,tt0112792,0,1995,99,"Biography,Drama",nm0808807,"nm0425676,nm0060103","['nm0000201', 'nm0001169', 'nm0005524', 'nm0000862']"
30,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,47054,3.905767841203724,114746,tt0114746,0,1995,129,"Mystery,Sci-Fi,Thriller",nm0000416,"nm0003408,nm0672459,nm0672466","['nm0000246', 'nm0000656', 'nm0000093', 'nm0577828']"
31,34,Babe (1995),Children|Drama,31456,3.603191759918616,112431,tt0112431,0,1995,91,"Comedy,Drama,Family",nm0003088,"nm0455404,nm0004306,nm0003088","['nm0000342', 'nm0844294', 'nm0004815', 'nm0546816']"
32,35,Carrington (1995),Drama|Romance,1352,3.4792899408284024,112637,tt0112637,0,1995,121,"Biography,Drama,Romance",nm0358960,"nm0358960,nm0392264","['nm0000668', 'nm0000596', 'nm0905357', 'nm0922335']"
33,36,Dead Man Walking (1995),Crime|Drama,19388,3.91868681658758,112818,tt0112818,0,1995,122,"Crime,Drama",nm0000209,"nm0695878,nm0000209","['nm0000215', 'nm0000576', 'nm0698764', 'nm0000855']"
34,38,It Takes Two (1995),Children|Comedy,631,2.870839936608558,113442,tt0113442,0,1995,101,"Comedy,Family,Romance",nm0855035,nm0204456,"['nm0000263', 'nm0000430', 'nm0001581', 'nm0001580']"
35,39,Clueless (1995),Comedy|Romance,26230,3.4187380861608845,112697,tt0112697,0,1995,97,"Comedy,Romance",nm0002132,nm0002132,"['nm0000224', 'nm0001107', 'nm0005261', 'nm0748620']"
36,40,"Cry, the Beloved Country (1995)",Drama,797,3.6267252195734,112749,tt0112749,0,1995,106,"Drama,Thriller",nm0740213,"nm0367838,nm0665704","['nm0001321', 'nm0000469', 'nm0475100', 'nm0001165']"
37,41,Richard III (1995),Drama|War,4266,3.843413033286451,114279,tt0114279,0,1995,110,"Drama,Sci-Fi,War",nm0518644,"nm0005212,nm0518644,nm0264236,nm0000636","['nm0005212', 'nm0000906', 'nm0100815', 'nm0223266']"
38,42,Dead Presidents (1995),Action|Crime|Drama,2300,3.0495652173913044,112819,tt0112819,0,1995,119,"Action,Crime,Drama","nm0400436,nm0400441","nm0400441,nm0400436,nm0114285,nm1088323","['nm0005478', 'nm0202966', 'nm0000676', 'nm0135585']"
39,43,Restoration (1995),Drama,2308,3.4499566724436743,114272,tt0114272,0,1995,117,"Biography,Drama,History",nm0001355,"nm0871857,nm0910361","['nm0000375', 'nm0000554', 'nm0000667', 'nm0908116']"
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,10629,2.6546241414996707,113855,tt0113855,0,1995,101,"Action,Adventure,Fantasy",nm0027271,"nm0095460,nm0864880,nm0238256","['nm0000483', 'nm0795225', 'nm0000798', 'nm0846480']"
41,45,To Die For (1995),Comedy|Drama|Thriller,8267,3.382907947260191,114681,tt0114681,0,1995,106,"Comedy,Crime,Drama",nm0001814,"nm0562767,nm0377750","['nm0000173', 'nm0000369', 'nm0001618', 'nm0000729']"
42,46,How to Make an American Quilt (1995),Drama|Romance,2889,3.2634129456559364,113347,tt0113347,0,1995,117,"Comedy,Drama,Romance",nm0602104,"nm0653307,nm0026862","['nm0000213', 'nm0000995', 'nm0000843', 'nm0185644']"
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,50596,4.079166337259863,114369,tt0114369,0,1995,127,"Crime,Drama,Mystery",nm0000399,nm0001825,"['nm0000151', 'nm0000093', 'nm0000228', 'nm0001825']"
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,13461,2.9777505385929723,114148,tt0114148,0,1995,81,"Adventure,Animation,Drama","nm0300265,nm0325196","nm0082772,nm0335666,nm0493857,nm0443855,nm0335469,nm0957798,nm0560329,nm0326814,nm0436314,nm0322368,nm0316727,nm0606407,nm1190000,nm0548211,nm0118333,nm0152284,nm0142200,nm0278181,nm0424666,nm0389445,nm0699213,nm0710181,nm1786806,nm0563602,nm0234837,nm0460146,nm0300265","['nm0000154', 'nm0001373', 'nm0000288', 'nm0048589']"
45,49,When Night Is Falling (1995),Drama|Romance,228,3.5197368421052637,114916,tt0114916,0,1995,94,"Drama,Romance",nm0005390,nm0005390,"['nm0124481', 'nm0006692', 'nm0001089', 'nm0288944']"
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,55366,4.284353213163313,114814,tt0114814,0,1995,106,"Crime,Drama,Mystery",nm0001741,nm0003160,"['nm0000228', 'nm0000321', 'nm0001590', 'nm0000286']"
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,8543,3.532892426548051,113819,tt0113819,0,1995,95,"Comedy,Drama,Fantasy",nm0000095,nm0000095,"['nm0000095', 'nm0000227', 'nm0086322', 'nm0147503']"
48,53,Lamerica (1994),Adventure|Drama,137,3.6496350364963503,110299,tt0110299,0,1994,116,"Comedy,Drama",nm0002167,"nm0002167,nm0691794,nm0785258","['nm0516272', 'nm0686375', 'nm0587549', 'nm0224076']"
